Decade,Century,Tried,Deaths,City_old,City,Region,Country,Longitude,Latitude,Part of Europe
1590,1500,5,2,Zusmarshausen,Mittelfranken,Bayern,Germany,10.5995,48.3983,Western Europe
1590,1500,2,0,Grossaitingen,Mittelfranken,Bayern,Germany,10.7777,48.2281,Western Europe
1590,1500,1,0,Dinkelscherben,Mittelfranken,Bayern,Germany,10.5898,48.3476,Western Europe
1590,1500,1,0,Buchloe,Mittelfranken,Bayern,Germany,10.7211,48.0361,Western Europe
1590,1500,68,68,Marktoberdorf,Mittelfranken,Bayern,Germany,10.6158,47.7785,Western Europe
1590,1500,1,0,Pfronten,Mittelfranken,Bayern,Germany,10.55,47.5833,Western Europe
1590,1500,1,0,Bobingen,Mittelfranken,Bayern,Germany,10.8296,48.2697,Western Europe
1590,1500,7,0,Kaltental,Mittelfranken,Bayern,Germany,10.75,47.9,Western Europe
1590,1500,2,0,Eggenthal,Mittelfranken,Bayern,Germany,10.5099,47.914,Western Europe
1590,1500,1,0,Unterthingau,Mittelfranken,Bayern,Germany,10.5058,47.7713,Western Europe
1590,1500,1,0,Kraftisried,Mittelfranken,Bayern,Germany,10.471,47.7794,Western Europe
1590,1500,5,0,Lissenthan,Oberpfalz,Bayern,Germany,12.129,49.4468,Western Europe
1590,1500,2,0,Irsee,Mittelfranken,Bayern,Germany,10.5716,47.9083,Western Europe
1590,1500,5,5,Augsburg,Mittelfranken,Bayern,Germany,10.8978,48.3705,Western Europe
1590,1500,9,9,Osterzell,Mittelfranken,Bayern,Germany,10.7446,47.8779,Western Europe
1590,1500,7,2,Donauworth,Mittelfranken,Bayern,Germany,10.7778,48.7186,Western Europe
1590,1500,49,36,Nordlingen,Mittelfranken,Bayern,Germany,10.4895,48.8508,Western Europe
1590,1500,5,5,Kellmunz,Mittelfranken,Bayern,Germany,10.1271,48.1225,Western Europe
1590,1500,1,0,Reichertshofen,Mittelfranken,Bayern,Germany,11.4678,48.657,Western Europe
1590,1500,25,25,Wallerstein,Mittelfranken,Bayern,Germany,10.4738,48.8887,Western Europe
1590,1500,1,0,Pappenheim,Mittelfranken,Bayern,Germany,10.9682,48.9287,Western Europe
1590,1500,1,0,Bad Tolz,Mittelfranken,Bayern,Germany,11.5652,47.7615,Western Europe
1590,1500,17,5,Munich,Mittelfranken,Bayern,Germany,11.582,48.1351,Western Europe
1590,1500,41,20,Freising,Mittelfranken,Bayern,Germany,11.7412,48.4029,Western Europe
1590,1500,5,4,Unterfohring,Mittelfranken,Bayern,Germany,11.646,48.1917,Western Europe
1590,1500,1,0,Bad Tolz,Mittelfranken,Bayern,Germany,11.5652,47.7615,Western Europe
1590,1500,2,2,Weilheim,Mittelfranken,Bayern,Germany,11.1421,47.8407,Western Europe
1590,1500,1,0,Weilheim,Mittelfranken,Bayern,Germany,11.1421,47.8407,Western Europe
1590,1500,1,0,Abensberg,Mittelfranken,Bayern,Germany,11.8508,48.8177,Western Europe
1590,1500,1,0,Bad Aibling,Mittelfranken,Bayern,Germany,12.0093,47.864,Western Europe
1590,1500,3,0,Bad Griesbach,Mittelfranken,Bayern,Germany,13.1966,48.4502,Western Europe
